Comuna;Tipo_Vivienda;N_Habitaciones;N_Baños;N_Estacionamientos;Total_Superficie_M2;Superficie_Construida_M2; Valor_UF ;Valor_CLP;Dirección;Quién_Vende;Corredor
Calera de Tango;Casa;5;6;3;5000;440;12200;351360000;Calera de Tango, Queilen;Gabriela Mellado V.;Zenpro Propiedades
Calera de Tango;Casa;6;6;6;5000;430;13000;374400000;Calera de Tango, Queilen;Gabriela Mellado V.;Zenpro Propiedades
Calera de Tango;Casa;3;3;No;2027;140;10300;296640000;Calera de Tango, Avenida calera de tango   condominio/santa teresa de tango - el barrancon;Alonso Baeza Rivera y Cía. Ltda. (Kennedy);Alonso Baeza Rivera y Cía. Ltda. (Kennedy)
Calera de Tango;Casa;8;6;No;5000;480;21500;619200000;Calera de Tango, Paradero 14 1/2/5 kilometros cruce calera de tango;RED Gestión Propiedades;Red Gestión Propiedades
Calera de Tango;Casa;3;2;3;5000;196;9100;262080000;Calera de Tango, Condominio El Trébol de Calera de Tango;Gabriela Mellado V.;Zenpro Propiedades
Calera de Tango;Casa;3;2;No;5000;170;11800;339840000;Calera de Tango, Lonquen Sur/Calera de Tango;Mauricio Pino Propiedades;Mauricio Pino Propiedades
Calera de Tango;Casa;3;2;4;2600;140;9850;283680000;Calera de Tango, Graciela Letelier de Ibañez N 29, camino lonquen. A 7 km de mall plaza oeste;María Teresa Olea González;Vende Dueño/a
Calera de Tango;Casa;5;4;No;5000;650;14450;416160000;Calera de Tango, Camino loreto/condominio santa cruz de loreto;Pro Partners Propiedades;Pro Partners Propiedades
Calera de Tango;Casa;5;3;No;5000;404;16500;475200000;Calera de Tango, Lonquen/Calera de tango;Mauricio Pino Propiedades;Mauricio Pino Propiedades
Calera de Tango;Casa;6;4;No;5015;440;16650;479520000;Calera de Tango, Condominio Los Almendros Sur/Avda Calera de Tango CV;Cristian Vial Propiedades;Cristian Vial Propiedades
Calera de Tango;Casa;7;5;No;5000;300;15000;432000000;Calera de Tango, Condominio la virgen/frente a restaurante kugenhouse;RED Gestión Propiedades;Red Gestión Propiedades
Calera de Tango;Casa;6;5;2;5000;250;25000;720000000;Calera de Tango, Graciela Letelier;Johanna Rojas Gestion Inmobiliaria;Johanna Rojas
Calera de Tango;Casa;3;1;2;300;50;2848;82022400;Calera de Tango, Calera de Tango;Maria Gabriela Saavedra;V & S Asesorias & Gestion Inmobiliaria
Calera de Tango;Casa;3;2;No;5000;443;11110;320000000;Calera de Tango, Parcela de 5.000 m2 con casa en ex Colonia El Trébol. Calera de Tango;Corretajes Prosal Ltda.;Corretajes Prosal
Cerrillos;Casa;3;2;2;109;80;3194;92000000;Cerrillos, Don orione;Juan Carlos Palma;Vitahome Propiedades
Cerrillos;Casa;4;3;2;260;142;5277;152000001;Cerrillos, Fernandez Albano;Reyes Propiedades;Reyes Propiedades
Cerrillos;Casa;3;1;1;150;80;3090;89000000;Cerrillos, Ongolmo;Cristián Espinoza F;Tzanis Propiedades
Cerrillos;Casa;5;2;2;276;83;4687;135000000;Cerrillos, Los Jazmines 274;Carolina Vasquez Zuñiga;Vende Dueño/a
Cerrillos;Casa;4;2;;134;149;3646;105000000;Cerrillos, General José Bernales Ramírez;Work Inmobiliario;Vende Dueño/a
Cerrillos;Casa;4;2;1;320;120;4791;138000000;Cerrillos, Cerrillos;Patricia Navarro;Enfoque Propiedades
Cerrillos;Casa;3;1;2;108;216;2847;82000000;;Daniela Parrau Vargas;Vende Dueño/a
Cerrillos;Casa;5;3;3;250;140;5208;150000000;Cerrillos, Julio Verne;Ricardo Propiedades;Ricardo Propiedades
Cerrillos;Casa;3;1;2;264;89;3368;97000000;;Daniela Parrau Vargas;Vende Dueño/a
Cerrillos;Casa;3;1;1;162;91;2673;77000000;Cerrillos, El Universo;Eleva Propiedades;Eleva Propiedades
Cerrillos;Casa;3;2;2;126;76;3368;97000000;Cerrillos, Cerrillos;Patricia Navarro;MLC Propiedades
Cerrillos;Casa;3;2;No;120;82;4027;116000000;Cerrillos, Ing juan cerón reyes;María Fernanda;Invierte Propiedades
Cerrillos;Casa;3;2;3;130;80;3298;95000000;Cerrillos, Padre tomas Roggia 2641;MLC Propiedades;MLC Propiedades
Cerrillos;Casa;3;2;No;100;85;2951;85000000;Cerrillos, Casa 2 Pisos en Condominio Altos de Don Orione;Corretajes Prosal Ltda.;Corretajes Prosal
Cerrillos;Casa;9;8;3;268;218;7330;211104000;Cerrillos, Caupolicán 7195;Juan Carlos Palma;Vitahome Propiedades
Cerrillos;Casa;2;1;3;1050;85;5000;144000000;Cerrillos, Catorce de Octubre;Felipe andres santibañez torres;Vende Dueño/a
Cerro Navia;Casa;4;2;1;;198;3298;95000000;Cerro Navia, Huelen 1581;Monica Edith Vega Riquelme;Vende Dueño/a
Cerro Navia;Casa;4;3;3;560;120;4861;140000000;Cerro Navia, Presidente Prieto;lapropiedad.cl;lapropiedad.cl
Cerro Navia;Casa;2;1;1;162;65;1805;52000000;Cerro Navia, Doctor Avendaño;Edith Angeline Faúndez Muñoz;Vende Dueño/a
Colina;Casa;3;3;No;5000;230;12900;371520000;Colina, Caletera San Martin/Carretera San Martin;Toro Guzmán Propiedades;Toro Guzmán Propiedades
Colina;Casa;5;5;No;5000;310;12221;352000000;Colina, General San Martin;Vivaqui Propiedades;Vivaqui Propiedades
Colina;Casa;4;3;No;5000;260;16500;475200000;Colina, Av. Chicureo/Alba 2;Toro Guzmán Propiedades;Toro Guzmán Propiedades
Colina;Casa;5;5;No;140;460;9808;282470400;Colina, Av Chamisero Portezuelo III calle el tranque Oriente colina;María Fernanda;Invierte Propiedades
Colina;Casa;5;5;No;5000;640;55000;1584000000;Colina, Las Brisas de Chicureo;Cata Brochet Propiedades;Cata Brochet Propiedades
Colina;Casa;4;3;2;5400;150;6500;187200000;;Gescor Propiedades;Gescor Propiedades
Colina;Casa;3;3;2;120;90;3368;97000000;Colina, Haya Austral 772;Arlette Andrea Riquelme Gonzalez;Vende Dueño/a
Colina;Casa;5;7;5;5000;468;26000;748800000;Colina, Altos de la Reserva;Natalie Fernandez Fekete;Vende Dueño/a
Colina;Casa;3;2;No;8509;190;27000;777600000;Colina, Avda Chicureo/Caletera General San Martin;Toro Guzmán Propiedades;Toro Guzmán Propiedades
Colina;Casa;8;5;No;7200;365;16500;475200000;Colina, Cerro Santa Isabel;Cata Brochet Propiedades;Cata Brochet Propiedades
Colina;Casa;5;4;No;5160;360;16800;483840000;Colina, Camino Guay Guay/Av. Chicureo;Toro Guzmán Propiedades;Toro Guzmán Propiedades
Colina;Casa;4;3;No;5000;235;9210;265248000;Colina, Camino santa Elena;Vivaqui Propiedades;Vivaqui Propiedades
Colina;Casa;5;4;No;5000;230;14900;429120000;Colina, El Algarrobo/Avenida Chicureo;Toro Guzmán Propiedades;Toro Guzmán Propiedades
Colina;Casa;5;4;No;5016;218;12990;374112000;Colina, Las campiñas;Vivaqui Propiedades;Vivaqui Propiedades
Colina;Casa;6;7;No;5000;265;21000;604800000;Colina, Chicureo;Vivaqui Propiedades;Vivaqui Propiedades
Colina;Casa;4;3;No;5800;320;19000;547200000;Colina, Camino San Alselmo/Guay Guay;Mauricio Pino Propiedades;Mauricio Pino Propiedades
Colina;Casa;4;2;No;5400;191;6450;185760000;Colina, Condominio El Cobijo;Walter Kraemer;Home Solutions
Colina;Casa;6;5;No;5010;369;18500;532800000;Colina, Av. El Valle / El Algarrobo;Vivaqui Propiedades;Vivaqui Propiedades
Colina;Casa;4;4;4;7200;230;16500;475200000;Colina, Lo arcaya;Genoveva del Carmen Espinoza Saez;Virtual Realty Property SpA.
Colina;Casa;6;6;No;20;560;34900;1005120000;Colina, Santa María De Chamisero I/Santa María de Chamisero;Jorge Pablo Caro Propiedades;Jorge Pablo Caro Propiedades
Colina;Casa;4;3;No;5000;290;8838;254534400;Colina, Peaje Lo Pinto Colina;Vivaqui Propiedades;Vivaqui Propiedades
Colina;Casa;6;4;No;5013;362;18026;519148800;Colina, Condominio Club de Golf, Las Brisas de Chicureo;Cata Brochet Propiedades;Cata Brochet Propiedades
Colina;Casa;5;4;No;8000;500;19500;561600000;Colina, Hacienda Chacabuco km 20;Cata Brochet Propiedades;Cata Brochet Propiedades
Colina;Casa;3;1;1;;45;1215;35000000;Colina, Novelista Januario Espinoza;Mónica Fica Beltran;Fica Propiedades
Colina;Casa;8;8;8;5800;700;30000;864000000;Colina, Altos de la Reserva;Natalie Fernandez Fekete;Vende Dueño/a
Colina;Casa;8;4;No;5145;300;7986;230000000;Colina, Chicureo, Parcela de Agrado en Condominio Santa Luisa de Los Ingleses.;Corretajes Prosal Ltda.;Corretajes Prosal
Colina;Casa;4;4;No;6000;320;19500;561600000;Colina, Los Ingleses/Chicureo;Toro Guzmán Propiedades;Toro Guzmán Propiedades
Colina;Casa;2;1;3;115;46;1493;43000000;Colina, Patriota Javiera Carrera;Rosemarie Alvarez Oñate;Vende Dueño/a
Colina;Casa;6;;;5787;310;11110;320000000;Colina, Chicureo, Excelente Parcela de Agrado en Casas del Alba;Corretajes Prosal Ltda.;Corretajes Prosal
Colina;Casa;3;1;1;166;83;1996;57500000;Colina, Las Nieves.;Colina Propiedades;Colina Propiedades
Colina;Casa;4;3;No;5800;320;19000;547200000;Colina, Chicureo;Cata Brochet Propiedades;Cata Brochet Propiedades
Colina;Casa;4;2;No;5000;200;7125;205200000;Colina, Camino Monasterio/Camino Monasterio;Jorge Pablo Caro Propiedades;Jorge Pablo Caro Propiedades
Colina;Casa;6;4;No;5000;355;19216;553420800;Colina, El Valle / Rotonda Piedra Roja/Guay Guay / Copec;Mauricio Pino Propiedades;Mauricio Pino Propiedades
Colina;Casa;4;7;No;5400;400;16890;486432000;Colina, San José/Santa Cecilia;Mauricio Pino Propiedades;Mauricio Pino Propiedades
Colina;Casa;3;1;No;5200;130;5555;160000000;Colina, Chicureo, Parcela de Agrado en Condominio San José.;Corretajes Prosal Ltda.;Corretajes Prosal
Colina;Casa;6;4;No;5100;470;11890;342432000;Colina, Santa Elena/Chicureo Norte;Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario);Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario)
Colina;Casa;5;5;No;5000;570;12800;368640000;Colina, Reina sur;Vivaqui Propiedades;Vivaqui Propiedades
Colina;Casa;2;1;1;130;73;1389;40000000;Colina, Domingo Campos Lagos;fernando mora;Vende Dueño/a
Colina;Casa;4;3;No;5498;239;13490;388512000;Colina, San Vicente de Lo Arcaya/General San Martín - Colina;Carlos Hurtado Rogers;Hurtado Propiedades S.A.
Colina;Casa;6;6;;20000;560;34900;1005120000;Colina, Colina;Marianella Vergara;Vende Dueño/a
Colina;Casa;4;6;No;5400;400;17390;500832000;Colina, Camino san josé;Cata Brochet Propiedades;Cata Brochet Propiedades
Colina;Casa;6;5;No;6200;450;18054;520000000;Colina, Colina;Vivaqui Propiedades;Vivaqui Propiedades
Colina;Casa;4;4;No;5600;400;12900;371520000;Colina, Santa Elena/San Miguel;Toro Guzmán Propiedades;Toro Guzmán Propiedades
Colina;Casa;3;3;;5000;140;7812;225000000;Colina, Colina;Work Inmobiliario;Work Inmobiliario
Colina;Casa;5;4;No;5230;530;25000;720000000;Colina, Condominio Polo Mahuida Country Club;Cata Brochet Propiedades;Cata Brochet Propiedades
Conchalí;Casa;4;2;3;185;120;2500;72000000;Conchalí, Av. Jose Maria Caro 1372;Corredor Pro SpA.;Corredorpro Spa
